"game_type","rank","opponent_class","player_turn","choice_entity_name","count","num_correct_choices"
"BGT_ARENA",-1,"DRUID",2,"Swipe",4,2
"BGT_ARENA",-1,"DRUID",2,"Cenarius",1,0
"BGT_ARENA",-1,"DRUID",2,"Menagerie Warden",1,0
"BGT_ARENA",-1,"DRUID",2,"Ironbark Protector",2,0
"BGT_ARENA",-1,"DRUID",2,"Celestial Dreamer",1,0
"BGT_ARENA",-1,"DRUID",2,"Mark of Y'Shaarj",1,1
"BGT_ARENA",-1,"DRUID",2,"Power of the Wild",2,2
"BGT_ARENA",-1,"DRUID",2,"Bite",1,0
"BGT_ARENA",-1,"DRUID",2,"Lotus Agents",4,3
"BGT_ARENA",-1,"DRUID",2,"Tortollan Forager",5,5
"BGT_ARENA",-1,"DRUID",2,"Elder Longneck",1,0
"BGT_ARENA",-1,"DRUID",2,"Wild Growth",1,0
"BGT_ARENA",-1,"DRUID",2,"Defender of Argus",1,0
"BGT_ARENA",-1,"DRUID",2,"Wrath",2,2
"BGT_ARENA",-1,"DRUID",2,"Moonglade Portal",1,1
"BGT_ARENA",-1,"DRUID",2,"Lunar Visions",1,1
"BGT_ARENA",-1,"DRUID",2,"Starfall",6,1
"BGT_ARENA",-1,"DRUID",2,"Dark Arakkoa",1,0
"BGT_ARENA",-1,"DRUID",2,"Starfire",1,0
"BGT_ARENA",-1,"DRUID",2,"Kun the Forgotten King",1,0
"BGT_ARENA",-1,"DRUID",2,"Verdant Longneck",1,1
"BGT_ARENA",-1,"DRUID",2,"Feral Rage",2,0
"BGT_ARENA",-1,"DRUID",2,"Innervate",3,0
"BGT_ARENA",-1,"DRUID",2,"Evolving Spores",1,1
"BGT_ARENA",-1,"DRUID",2,"Ancient of War",3,1
"BGT_ARENA",-1,"DRUID",2,"Mire Keeper",1,1
"BGT_ARENA",-1,"DRUID",2,"Naturalize",1,0
"BGT_ARENA",-1,"DRUID",2,"Tyrantus",1,0
"BGT_ARENA",-1,"DRUID",3,"Moonglade Portal",5,2
"BGT_ARENA",-1,"DRUID",3,"Living Mana",4,3
"BGT_ARENA",-1,"DRUID",3,"Force of Nature",2,1
